Time,CPU Percent,Memory Used (MB),Memory Percent,Absolute CPU (s)
18:40:31,0.0,20.3125,0.2584884885631271,0.0
18:40:32,0.0,35.4921875,0.45165892443934097,0.42000000000000004
18:40:33,0.0,35.4921875,0.45165892443934097,0.06
18:40:34,0.0,37.55859375,0.4779551572181667,0.08000000000000007
18:40:35,19.9,37.5234375,0.47750777329565364,0.10999999999999988
18:40:36,9.9,37.5234375,0.47750777329565364,0.09000000000000008
18:40:37,9.9,37.4609375,0.4767124241000748,0.09999999999999998
18:40:38,19.9,37.3984375,0.475917074904496,0.09999999999999998
18:40:39,19.9,37.3984375,0.475917074904496,0.09000000000000008
18:40:40,0.0,37.3984375,0.475917074904496,0.08000000000000007
18:40:41,9.9,37.3984375,0.475917074904496,0.09999999999999964
18:40:42,19.9,37.3984375,0.475917074904496,0.10000000000000009
18:40:43,0.0,37.3984375,0.475917074904496,0.08000000000000007
18:40:44,59.5,40.22265625,0.5118569166797153,0.16000000000000014
18:40:45,9.9,40.6953125,0.5178717449712804,0.27
18:40:46,9.9,40.953125,0.5211525604030433,0.2799999999999998
18:40:47,59.6,41.20703125,0.5243836665100823,0.3500000000000001
18:40:48,9.9,41.20703125,0.5243836665100823,0.14000000000000012
18:40:49,9.9,41.20703125,0.5243836665100823,0.13999999999999968
18:40:50,9.9,41.20703125,0.5243836665100823,0.23000000000000043
18:40:51,9.9,41.46484375,0.527664481941845,0.20000000000000018
18:40:52,0.0,41.46484375,0.527664481941845,0.23999999999999932
18:40:53,0.0,41.72265625,0.5309452973736078,0.20000000000000018
18:40:54,9.9,41.72265625,0.5309452973736078,0.28000000000000025
18:40:55,69.5,41.98046875,0.5342261128053706,0.29000000000000004
18:40:56,9.9,42.23828125,0.5375069282371333,0.5199999999999996
18:40:57,9.9,42.23828125,0.5375069282371333,0.11000000000000032
18:40:58,19.9,42.23828125,0.5375069282371333,0.11000000000000032
18:40:59,9.9,42.49609375,0.5407877436688961,0.1999999999999993
18:41:00,9.9,42.49609375,0.5407877436688961,0.29000000000000004
18:41:01,9.9,42.75390625,0.5440685591006589,0.40000000000000036
18:41:02,0.0,42.75390625,0.5440685591006589,0.3899999999999997
18:41:03,89.7,43.32421875,0.5513261205103159,0.5500000000000007
18:41:04,10.0,43.32421875,0.5513261205103159,0.3899999999999997
18:41:05,9.9,43.58203125,0.5546069359420788,0.3799999999999999
18:41:06,39.8,43.83984375,0.5578877513738415,0.9299999999999997
18:41:07,9.9,44.09765625,0.5611685668056042,0.25
18:41:08,69.7,44.09765625,0.5611685668056042,0.3100000000000005
18:41:09,69.7,44.09765625,0.5611685668056042,0.40000000000000036
18:41:10,9.9,44.35546875,0.564449382237367,0.3099999999999987
18:41:11,79.7,44.35546875,0.564449382237367,0.370000000000001
18:41:12,109.5,44.61328125,0.5677301976691297,0.5700000000000003
18:41:13,99.6,44.87109375,0.5710110131008925,0.5899999999999999
18:41:14,0.0,45.12890625,0.5742918285326553,0.4499999999999993
18:41:15,9.9,45.12890625,0.5742918285326553,0.33000000000000007
18:41:16,159.1,45.38671875,0.5775726439644181,0.7200000000000006
18:41:17,9.9,45.38671875,0.5775726439644181,0.41999999999999993
18:41:18,9.9,45.64453125,0.5808534593961808,0.5800000000000001
18:41:19,9.9,45.64453125,0.5808534593961808,0.24999999999999822
18:41:20,10.0,45.64453125,0.5808534593961808,0.5400000000000027
18:41:21,9.9,45.64453125,0.5808534593961808,0.2599999999999998
18:41:22,149.2,45.90234375,0.5841342748279436,0.6999999999999993
18:41:23,0.0,46.16015625,0.5874150902597064,0.9000000000000004
18:41:24,169.4,46.41796875,0.5906959056914691,1.3300000000000018
18:41:25,9.9,46.9296875,0.597207827230271,0.6899999999999977
18:41:26,0.0,47.1875,0.6004886426620337,0.6600000000000001
18:41:27,0.0,47.1875,0.6004886426620337,0.6499999999999986
18:41:28,129.2,47.4453125,0.6037694580937965,0.8500000000000014
18:41:29,99.5,47.703125,0.6070502735255593,0.41999999999999815
18:41:30,119.5,47.9609375,0.610331088957322,1.0800000000000018
18:41:31,59.6,48.21875,0.6136119043890849,0.629999999999999
18:41:32,79.5,48.21875,0.6136119043890849,0.41000000000000014
18:41:33,169.5,48.4765625,0.6168927198208476,0.7699999999999996
18:41:34,0.0,48.734375,0.6201735352526103,0.6400000000000041
18:41:35,118.4,48.9921875,0.6234543506843732,0.9899999999999949
18:41:36,99.6,49.25,0.6267351661161359,0.8300000000000018
18:41:37,59.5,49.25,0.6267351661161359,0.4800000000000004
18:41:38,189.3,49.5078125,0.6300159815478987,1.0999999999999979
18:41:39,189.3,49.765625,0.6332967969796615,1.2600000000000016
18:41:40,10.0,49.765625,0.6332967969796615,0.6500000000000021
18:41:41,69.4,50.28125,0.6398584278431869,1.4499999999999993
18:41:42,0.0,50.28125,0.6398584278431869,0.240000000000002
18:41:43,9.9,50.28125,0.6398584278431869,0.10999999999999588
18:41:44,0.0,50.28125,0.6398584278431869,0.08000000000000185
18:41:45,9.9,50.28125,0.6398584278431869,0.019999999999999574
18:41:46,9.9,50.28125,0.6398584278431869,0.019999999999999574
18:41:47,0.0,50.28125,0.6398584278431869,0.019999999999999574
18:41:48,0.0,50.28125,0.6398584278431869,0.05999999999999872
18:41:49,0.0,50.28125,0.6398584278431869,0.060000000000002274
18:41:50,9.9,50.28125,0.6398584278431869,0.019999999999999574
18:41:51,9.9,50.28125,0.6398584278431869,0.09999999999999787
18:41:52,0.0,50.28125,0.6398584278431869,0.12000000000000455
18:41:53,9.9,50.28125,0.6398584278431869,0.14999999999999858
