Time (HH:MM:SS.mmm),Desired Left,Desired Right,Measured Left,Measured Right
18:40:42.755,0.0,-0.0,0.0,0.0
18:40:42.808,0.0,-0.0,0.0,0.0
18:40:42.863,0.0,-0.0,0.0,0.0
18:40:42.919,0.0,-0.0,0.0,0.0
18:40:42.967,0.0,-0.0,0.0,0.0
18:40:43.064,0.0,-0.0,0.0,0.0
18:40:43.118,0.0,-0.0,0.0,0.0
18:40:43.221,0.0,-0.0,0.0,0.0
18:40:43.286,0.0,-0.0,0.0,0.0
18:40:43.349,0.0,-0.0,0.0,0.0
18:40:43.374,0.18727707543543404,0.18727707543543404,0.0,0.0
18:40:43.377,0.0,-0.0,0.0,0.0
18:40:43.444,0.0,-0.0,0.0,0.0
18:40:43.488,0.18727707543543404,0.18727707543543404,0.0,0.0
18:40:43.496,0.0,-0.0,0.0,0.0
18:40:43.505,0.18727707543543404,0.18727707543543404,0.0,0.0
18:40:43.520,0.4362693588648523,0.4362693588648523,0.0,0.0
18:40:43.527,0.6852616156850542,0.6852616156850542,0.0,0.0
18:40:43.533,0.9342539523329052,0.9342539523329052,0.0,0.0
18:40:43.598,1.1832461825438907,1.1832461825438907,0.0,0.0
18:40:43.600,1.4322385191917417,1.4322385191917417,0.0,0.0
18:40:43.656,1.681230749402727,1.681230749402727,0.0,0.0
18:40:43.662,2.1792154226984297,2.1792154226984297,0.0,0.0
18:40:43.664,2.6771998831204002,2.6771998831204002,0.0,0.0
18:40:43.665,3.1751845564161023,3.1751845564161023,0.0,0.0
18:40:43.666,3.92216145992279,3.92216145992279,0.0,0.0
18:40:43.668,4.420145920344761,4.420145920344761,0.0,0.0
18:40:43.670,5.167122823851448,5.167122823851448,0.0,0.0
18:40:43.672,6.1630917446953895,6.1630917446953895,0.0,0.0
18:40:43.673,6.412084187780108,6.412084187780108,0.0,0.0
18:40:43.673,6.910068648202079,6.910068648202079,0.0,0.0
18:40:43.676,7.408053534371511,7.408053534371511,0.0,0.0
18:40:43.678,7.90603756904602,7.90603756904602,0.0,0.0
18:40:43.688,8.653014898300171,8.653014898300171,0.0,0.0
18:40:43.690,8.902007341384888,8.902007341384888,0.0,0.0
18:40:43.695,9.150998932974678,9.150998932974678,0.0,0.0
18:40:43.696,9.648983819144112,9.648983819144112,0.0,0.0
18:40:43.733,9.399991376059395,9.399991376059395,0.0,0.0
18:40:43.774,9.150998932974678,9.150998932974678,3.1520388771816297,2.758034017533926
18:40:43.784,8.902007341384888,8.902007341384888,3.1520388771816297,2.758034017533926
18:40:43.790,8.653014898300171,8.653014898300171,3.1520388771816297,2.758034017533926
18:40:43.797,8.404022455215454,8.404022455215454,3.1520388771816297,2.758034017533926
18:40:43.806,7.90603756904602,7.90603756904602,4.7354075265516835,4.998485722471219
18:40:43.808,7.657045977456228,7.657045977456228,4.7354075265516835,4.998485722471219
18:40:43.810,7.408053534371511,7.408053534371511,4.7354075265516835,4.998485722471219
18:40:43.817,7.1590610912867945,7.1590610912867945,4.7354075265516835,4.998485722471219
18:40:43.822,6.910068648202079,6.910068648202079,4.7354075265516835,4.998485722471219
18:40:43.826,6.1630917446953895,6.1630917446953895,4.7354075265516835,4.998485722471219
18:40:43.834,5.914099727358137,5.914099727358137,6.805266143353742,6.805266143353744
18:40:43.836,6.1630917446953895,6.1630917446953895,6.805266143353742,6.805266143353744
18:40:43.848,5.914099727358137,5.914099727358137,6.805266143353742,6.805266143353744
18:40:43.853,5.665107284273419,5.665107284273419,6.805266143353742,6.805266143353744
18:40:43.858,5.914099727358137,5.914099727358137,6.805266143353742,6.805266143353744
18:40:43.870,5.665107284273419,5.665107284273419,8.178785777464695,7.5192062792820575
18:40:43.918,5.665107284273419,5.665107284273419,8.782430625342066,8.78243062534207
18:40:43.956,5.914099727358137,5.914099727358137,8.679415973209746,8.416403367960958
18:40:43.965,6.1630917446953895,6.1630917446953895,7.742289568513541,7.6110643215895815
18:40:43.975,6.412084187780108,6.412084187780108,7.742289568513541,7.6110643215895815
18:40:43.989,6.661076630864824,6.661076630864824,7.742289568513541,7.6110643215895815
18:40:44.046,6.661076630864824,6.661076630864824,6.031359796249897,6.1624763135596785
18:40:44.068,6.450576665212533,6.871576596517115,5.51700590798885,5.517005907988843
18:40:44.073,6.210299098864198,7.11185416286545,5.51700590798885,5.517005907988843
18:40:44.078,5.9700215453548084,7.352131716374839,5.51700590798885,5.517005907988843
18:40:44.081,5.609605189412832,7.7125480723168165,5.51700590798885,5.517005907988843
18:40:44.088,5.24918893618243,8.072964325547218,5.893776915750355,6.024749736100362
18:40:44.098,5.498180953519684,8.321956342884473,5.893776915750355,6.024749736100362
18:40:44.100,5.137764597577708,8.682372698826448,5.893776915750355,6.024749736100362
18:40:44.102,4.897487095424107,8.92265020098005,5.893776915750355,6.024749736100362
18:40:44.103,4.537070739482131,9.283066556922027,5.893776915750355,6.024749736100362
18:40:44.108,4.7860631825668465,9.532059000006743,5.893776915750355,6.024749736100362
18:40:44.109,4.305507972836494,10.012614209737096,5.893776915750355,6.024749736100362
18:40:44.110,4.185369324471269,10.13275285810232,5.893776915750355,6.024749736100362
18:40:44.116,3.824952968529292,10.493169214044299,5.893776915750355,6.024749736100362
